 ,λ = 100 η = 100,, λ = 100 η = 150,, λ = 100 η = 200,, λ = 100 η = 250,, λ = 150 η = 100,, λ = 150 η = 150,, λ = 150 η = 200,, λ = 150 η = 250,, λ = 200 η = 100,, λ = 200 η = 150,, λ = 200 η = 200,, λ = 200 η = 250,, λ = 250 η = 100,, λ = 250 η = 150,, λ = 250 η = 200,, λ = 250 η = 250,
Instances,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
pc_usb_d12,62.6,16.66,62,5.05,64.8,1.51,67.2,0.86,62.6,13.94,61.4,4.57,65,2.08,66,1.63,62,16.58,62.4,5.71,65.4,2.41,66.8,2.37,61.8,17.52,62.6,5.55,63.8,2.62,67.4,2.33
pc_vmWare,64.2,16.41,64.8,3.86,68,1.31,69,1.21,65.2,12.07,66,5.04,67,2.2,69.4,1.62,65.2,13.28,65.6,5.3,68.2,2.57,69.6,2.02,64.8,13.35,65.4,5.62,67.8,2.64,69.8,2.52
phycore,61,10.42,60.6,3.87,64.6,1.74,67.2,1.19,61.4,13.09,61.8,3.87,64.2,1.72,66,1.7,62.6,12.61,61.8,7.63,63.6,2.46,67.2,2.02,62.8,14.49,62.2,5.94,62.8,3.16,67.4,2.52
phycore229x,65.4,13.41,66.8,4.07,67.2,1.87,70.4,1.34,64.4,15.92,64.6,4.21,68.6,2.14,70,1.79,65.8,15.38,66.2,5.71,67.2,3.02,70.8,2.24,65.2,14.14,65.8,5.14,67.8,2.88,70.4,2.83
picasso,64.4,12.06,63.6,3.06,67,1.6,68.2,1.16,65.4,10.81,63.4,5.82,65.4,1.91,69,1.55,64.6,10.14,64.2,4,66,3.09,68.6,2.24,64.2,13.49,63.6,4.69,66,2.55,69,2.13
pid,60,10.15,60.2,5.86,63.4,1.33,64.4,1.08,61.2,11.41,61,4.71,62.8,1.58,65.6,1.56,60.8,10.93,60.6,3.64,62.4,2.4,64.8,2.12,60.6,12.93,60.2,5.28,62.2,2.79,65.2,2.03
prpmc1100,60.4,10.23,60.6,4.51,61.8,1.41,65.8,1.1,61.6,9.87,60.2,3.38,63.2,2,63.8,1.46,60.8,10.43,60.4,5.12,62.4,2.23,65,2.07,60.4,12.12,60.6,3.52,62.8,2.53,66,2.3
psim,60.2,10.17,60.2,2.64,62.2,1.3,65.8,0.98,59.4,10.34,60.6,3.56,62.2,1.56,64.2,1.37,60.8,9.87,59.4,4.43,62,1.97,65,1.67,59,12.11,60.2,5.06,62.2,2.15,64.4,2.17
rattler,68.2,14.85,69.4,5.05,71.4,2.09,73.6,1.19,68.2,14.78,69.6,4.47,70.4,2.4,73.6,1.85,67.2,14.1,69,5.34,71.8,3.03,73,2.66,69.6,16.12,69.6,6.16,70.2,3.21,73.2,2.57
ref4955,61.2,10.13,61.6,3.82,63.6,1.3,66,1.04,61,10.06,59.8,4.43,62.2,2.06,65.2,1.52,61.2,11.97,60.4,4.46,63.2,2.8,65.4,2.09,61.2,12.72,61.2,3.88,62.6,2.91,64.8,2.09
refidt334,69.8,12.78,69.2,4.61,70.2,2.16,74.6,1.26,69.2,14.83,68.8,4.91,70,1.81,74,1.77,68.8,15.93,69.2,5.09,70.4,3.27,74,2.3,68.6,15.61,69,5.92,71.2,3.56,73.4,2.78
sa1100mm,61.2,10.9,62.2,2.57,62,1.87,65.2,1.05,60.6,10.48,60.6,4,61.6,1.6,65.2,1.41,61,9.77,60.6,4.42,61.8,2.07,65.8,1.8,61.4,10.79,60.6,4.22,62.8,2.24,65.8,1.93
sam7ex256,65.6,13,65.4,5.07,68.4,1.93,69.2,1.31,64.8,15.81,66.2,3.92,67,2.32,71.6,1.39,66.4,15.95,66,4.83,67.2,2.6,71.2,2.17,65.4,13.02,66,5.33,68.6,2.94,70.4,2.64
se7751,70,11.99,70.6,4.99,72.2,1.93,76,1.13,70.2,14.45,70.4,4.08,72.2,2.24,75.4,1.85,71,15.69,71.2,4.31,73.2,2.47,74.6,2.32,69.8,15.89,71.4,6.87,73,3,75.8,2.72
sh4_202_md,70.6,11.57,70,4.66,72.6,1.53,76.4,1.14,70.6,13.43,71.4,4.18,72.6,1.64,75.4,1.46,71.2,13.67,68.6,6.42,72.4,2.81,74.8,2.35,70.2,14.93,70.2,5.61,72,3.58,74.4,2.54
sh7708,76.8,12.61,74.8,4.15,77.4,1.74,79.6,1.15,76.6,10.04,76,3.88,78.2,1.76,81.8,1.7,76.6,13.43,76.4,4.54,78.2,2.74,80.6,2.16,76.6,14.72,76.4,6.14,77,3.07,79,2.67
skmb91302,61.2,10.48,61.4,3.53,61.8,1.68,66,1.12,61.4,13.19,61.2,3.21,63.4,2.05,65.6,1.33,60.6,11.68,60.4,4.94,62.4,2.74,65.4,2.21,61.6,12.09,61.6,4.92,63,2.53,64.6,2.09
